PIMNEMOLKG                    	PIMIENTA NEGRA MOL 12X1KG	Z-CON 	CONDIMENTOS	Z-CON 	CONDIMENTOS	GEN   	GENERAL	V			0
POLIPROPILENO                 	POLIPROPILENO	OTR   	OTROS	OTR   	OTROS	GEN   	GENERAL	V			0
POLVOHORNEAR                  	POLVO HORNEAR 12X1KG	Z-CON 	CONDIMENTOS	Z-CON 	CONDIMENTOS	GEN   	GENERAL	V			0
01-011                        	QUESO DE AÑO RAYADO FRITZ 20x180gr	OTR   	OTROS	OTR   	OTROS	GEN   	GENERAL	V			0
7692418000173                 	QUINCHONCHO 24X500 GR	OTR   	OTROS	OTR   	OTROS	GEN   	GENERAL	V	NULL	NULL	0
7592640001996                 	QUINCHONCHO 24X500gr	GRA   	GRANOS	GRAB  	GRANOS BULTOS	GEN   	GENERAL	V	NULL	NULL	0
015                           	QUINCHONCHO 500gr  UNIDAD	GRA   	GRANOS	GRAUNI	GRANOS UNIDAD	GEN   	GENERAL	V			0
QUIN                          	QUINCHONCHO 50KG	GRA   	GRANOS	GRAS  	GRANOS SACOS	GEN   	GENERAL	V	NULL	NULL	0
RIKESAQUESO                   	RIKESA QUESO ORIGINAL 300GRX12	SAL   	SALSAS	SAL   	SALSAS	GEN   	GENERAL	V			0
ROYAL                         	ROYAL ESTIBADORES	SERV  	SERVICIO	SERV  	SERVICIO	SERV  	SERVICIO	S			0
7692418000172                 	SACOS VACIOS	OTR   	OTROS	OTR   	OTROS	GEN   	GENERAL	V	NULL	NULL	0
01-006                        	SALSA A BASE DE TOMATE KILO FRITZ 12x1kg	SAL   	SALSAS	SAL   	SALSAS	GEN   	GENERAL	V			0
01-001                        	SALSA B.B.Q. FRITZ 12x290gr	SAL   	SALSAS	SAL   	SALSAS	GEN   	GENERAL	V			0
01-010                        	SALSA B.B.Q. FRITZ 12x950gr	SAL   	SALSAS	SAL   	SALSAS	GEN   	GENERAL	V			0
05-003                        	SALSA DE AJO 150CC x 24 UNID	SAL   	SALSAS	SAL   	SALSAS	GEN   	GENERAL	V			0
01-008                        	SALSA DE AJO FRITZ 24x300gr	SAL   	SALSAS	SAL   	SALSAS	GEN   	GENERAL	V			0
01-009                        	SALSA DE MAIZ FRITZ 12x240gr	SAL   	SALSAS	SAL   	SALSAS	GEN   	GENERAL	V			0
05-004                        	SALSA DE SOYA 150CC x  24 UNID	SAL   	SALSAS	SAL   	SALSAS	GEN   	GENERAL	V			0
SOYAAVILA                     	SALSA DE SOYA AVILA 4X3.785	SAL   	SALSAS	SAL   	SALSAS	GEN   	GENERAL	V			0
05-005                        	SALSA INGLESA 150CC x 24 UNID	SAL   	SALSAS	SAL   	SALSAS	GEN   	GENERAL	V			0
INGLESAAVILA                  	SALSA INGLESA AVILA 4X4	SAL   	SALSAS	SAL   	SALSAS	GEN   	GENERAL	V			0
SALSAPPTAKG                   	SALSA P/PASTAS X 1KG	SAL   	SALSAS	SAL   	SALSAS	GEN   	GENERAL	V			0
01-005                        	SALSA PICANTE FRITZ 24x250gr	SAL   	SALSAS	SAL   	SALSAS	GEN   	GENERAL	V			0
01-002                        	SALSA PICANTINA FRITZ 12x260gr	SAL   	SALSAS	SAL   	SALSAS	GEN   	GENERAL	V			0
01-004                        	SALSA ROSADA FRITZ 12x260gr	SAL   	SALSAS	SAL   	SALSAS	GEN   	GENERAL	V			0
05-006                        	SALSAS DE 150CC x  8 TRI PACK (AJO SOYA INGLESA)	SAL   	SALSAS	SAL   	SALSAS	GEN   	GENERAL	V			0
SACS                          	SERVICIO AUTONOMO DE CONTRALORIA SANITARIA	SERV  	SERVICIO	SERV  	SERVICIO	SERV  	SERVICIO	S			0
SERVDEMORAS                   	SERVICIO DEMORAS INTERMODAL	SERV  	SERVICIO	SERV  	SERVICIO	SERV  	SERVICIO	S	NULL	NULL	0
MADPINO                       	TABLERO FINGER JOINT MADERA DE PINO CARPINTERIA 18MM 122x244	OTR   	OTROS	OTR   	OTROS	GEN   	GENERAL	V	NULL	NULL	0
TESORO                        	TESORO NACIONAL	OTR   	OTROS	OTR   	OTROS	GEN   	GENERAL	S			0
TIR90                         	TIRRO 90MTS	OTR   	OTROS	OTR   	OTROS	GEN   	GENERAL	V			0
FLETE                         	TRANSPORTE FLETE	OTR   	OTROS	OTR   	OTROS	GEN   	GENERAL	S			0
USOSUP                        	USO DE SUPERFICIE	SERV  	SERVICIO	SERV  	SERVICIO	SERV  	SERVICIO	S	NULL	NULL	0
PASAS 10K                     	UVAS PASAS 10 KILOS	CER   	CEREALES	CER   	CEREALES	GEN   	GENERAL	V			0
PASAS10K                      	UVAS PASAS 10 KILOS	OTR   	OTROS	OTR   	OTROS	GEN   	GENERAL	V			0
VARGASCONTAINER               	VARGAS CONTAINERS	SERV  	SERVICIO	SERV  	SERVICIO	SERV  	SERVICIO	S	NULL	NULL	0
VECONINTER                    	VECONINTER	SERV  	SERVICIO	SERV  	SERVICIO	SERV  	SERVICIO	S	NULL	NULL	0
VINAMAV4                      	VINAGRE MAVESA 4X3.875	OTR   	OTROS	OTR   	OTROS	GEN   	GENERAL	V			0
